카테고리+법령,법령,카테고리,관련 상품군,표시분류 : 안전관리유형,인증/승인/등록 요건,KC표시의무,표시위치/방법(원칙),표시위치/방법(예외적허용),표시사항포맷_제거필요한지확인필요,Product guide 포맷_제거필요한지확인필요,정책2025_오프 포맷,정책2025_웹포맷,정책2025_본품부착 품표스티커,정책2025_MBS품표스티커,Status,버전(test),시행일,1. goods,참고자료(전안법가이드북),참고자료(개별표시사항),참고자료,참고자료(전안법가이드북구분),참고링크,참고_표시사항 가이드 관련
"시행일 : 2024-12-31 | 전기용품및생활용품안전관리법(전안법)_생활용품_안전기준준수_의류 이외의 섬유 제품
-가방류, 파우치류, 양말, 담요, 타월(세면/비치타월), 손수건, 안대, 마스크스트랩, 쿠션... ",전기용품및생활용품안전관리법(전안법),생활용품,"의류 이외의 섬유 제품
-가방류, 파우치류, 양말, 담요, 타월(세면/비치타월), 손수건, 안대, 마스크스트랩, 쿠션... ",안전기준준수,제품검사(자율),없음,1. 개별 제품에 세탁하더라도 떨어지지 않는 박음질 또는 그와 동등한 효과 있는 방법으로 표시 ,"*표시사항 박음질이 제품 사용에 불편을 주거나 미관을 심히 해하는 경우 개별 제품 포장/꼬리표/스티커 등으로 대체 가능 : 예) 양말, 장갑, 스카프, 머플러, 손수건, 모자, 신발(합성섬유 한정), 타월, 모기장, 덮개류 등
**동일품명(제품) 2개 이상 묶음 포장 판매 시 최소 판매 포장 단위 표면에만 표시 OK","전기용품 및 생활용품 안전관리법에 의한 표시
섬유의 조성 또는 혼용률 : 겉감, 안감, 충전재를 사용한 제품은 충전재 병기, 다운제품은 솜털(다운), 깃털(페더), 기타로 구분하여 %로 표시
모델명
제조자명(또는 수입자명)
제조국명
제조연월/ 최초판매시즌/ 로트번호 등 시기를 가늠할 수 있는 어느 하나를 표시 
*섬유명칭 통일문자 첨부 이미지 참고
치수: 숄, 가방, 커튼 등 일부 제품은 생략
표시자 주소 및 전화번호(지역번호 포함) : 
소비자상담실
취급상 주의사항
",,,,,,,V1.0,2024-12-31,"레더라벨 캠핑체어,0% 무염색 타올,로고스트랩 파우치,노마드 백팩,세이프 미니 파우치,스타일 수면안대,굿이너프 비치타월,퍼 블랭킷,클라우드 피크닉매트,그라운드 쿠션체어,톤앤톤 쿨러백,모바일 오피스 파우치,100% 커스텀 삭스,그래픽 에코백,4초 에어 넥쿠션,포시즌 블랭킷,컬러핏 마스크스트랩,일러스트 손수건,데스크테리어 매트,브랜디드 노트북백,포인트업 러그,하이킹 폴딩방석,메시지 캐리어 파우치,포켓 마켓백,더블업 트래블 파우치,포시즌 티셔츠,굿스타트 슈즈백,트래블 2in1 목베개,액티브 스포츠타월,테크 미니 파우치,인마이백 피크닉매트,데일리 짐색,홀리데이 네임택,해피웨이 런치백,임팩트 슬로건타월,브랜디드 타월",,"화면 캡처 2023-05-09 202645.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770530400000/AUK4r_D_UeJRNJMonrp2eA/OYI1pYRmprI4sVda-45fvtypvGAVZhMwah54CXapcoRUHr6iv5ujPUxQdbGgM26ZzOpxHPj-flFA_iPmFPBpVX200-64KCRuJKm3sFSwu1bU5EtbGBKxv0X20nx6A-ZImnJQ4Dj8nM_kfW-8Mkhq1A/wpQb40rEBym4Wjz06gxNZuxw5jJo9zuYFkUQo3Kb-10),화면 캡처 2023-04-19 183033.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770530400000/b7mc6BkxbbxIzv3PCZffTA/6zbgcyGfXV54Qj9opAJ635iJLsKCg2hCiwFUFHHdwTb8lx7rZhJLvWlnpc3_fnJYxQMLu06aV_tQQP1Rib9tK6AFYkfHwd395SeClA98WGg-EFDCM8LHWBGSzlV1uYBHAlEQYJ6MYmIQ-laYuAdV7Q/o34bMmc4ZbN8zeegP03Vue8j7lUlZmY3Bou0JHw8c-k),화면 캡처 2023-04-19 183131.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770530400000/AytFLWs2AkcrXcP9ULicFA/-MPe9PrwbxnuYufbzyp8z3ppGT6283zfpisiFsaC2c-uyUUGJBSGjYUIsalkVYUGsPd5470-97l2mLTPfeHJ8waspdGmaLxxqW3DS5wLrCPkZR-ofyvygpCAO5j2s2kRQI6SnQYic1L77hZyNrAO_g/SkoQAg1VpgJQwOo_19chWSI-uZSfSxwBRLRFuTpx1Z4)",,"화면 캡처 2023-03-28 125014.jpg (https://airtable.com/appzRkUNF4NyCQP39/tblDLSbFcLiwOg50s/recoEAeT0r9RfnSoc/fldOVwtqvRp2TzpjY/attylBtaHWWfuT212), (협회) 표시사항 가이드북 생활용품_2021.pdf (https://airtable.com/appzRkUNF4NyCQP39/tblDLSbFcLiwOg50s/recoEAeT0r9RfnSoc/fldOVwtqvRp2TzpjY/atttJxyljgKbkd4L6)",https://www.safetykorea.kr/,
"시행일 : 2024-12-31 | 전기용품및생활용품안전관리법(전안법)_생활용품_안전기준준수_의류(외의류, 중의류, 내의류, 유아용 및 아동용 의류, 학생복,
한복 등)
",전기용품및생활용품안전관리법(전안법),생활용품,"의류(외의류, 중의류, 내의류, 유아용 및 아동용 의류, 학생복,
한복 등)
",안전기준준수,제품검사(자율),없음,1. 개별 제품에 세탁하더라도 떨어지지 않는 박음질 또는 그와 동등한 효과 있는 방법으로 표시 ,"*표시사항 박음질이 제품 사용에 불편을 주거나 미관을 심히 해하는 경우 개별 제품 포장/꼬리표/스티커 등으로 대체 가능 : 예) 양말, 장갑, 스카프, 머플러, 손수건, 모자, 신발(합성섬유 한정), 타월, 모기장, 덮개류 등
**동일품명(제품) 2개 이상 묶음 포장 판매 시 최소 판매 포장 단위 표면에만 표시 OK","전기용품 및 생활용품 안전관리법에 의한 표시
섬유의 조성 또는 혼용률 : 겉감, 안감, 충전재(충전재를 사용한 제품에 한 한다), 다운제품은 솜털(다운), 깃털(페더), 기타로 구분하여 %로 표시
*섬유명칭 통일문자 첨부 이미지 참고
모델명 : 
제조자명(또는 수입자명) : 
제조국명(수입품에 한함)
제조연월/ 최초판매시즌/ 로트번호 등 시기를 가늠할 수 있는 어느 하나를 표시 
치수(권장사항)
표시자 주소 및 전화번호(지역번호 포함) : 
소비자상담실
취급상 주의사항",,,,,,,V1.0,2024-12-31,"웜업 스트링 후드집업,퀄리-티셔츠,프리미엄 스트링 후드집업,슬로건 맨투맨,굿데이 볼캡",,"화면 캡처 2023-05-09 202645.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770530400000/j6G5l_Y-i-wQj3EZ8rZmsw/ikBsU2v0azsCI0ESnCpDAAYYX1pDxTq_resDGiRVnSDY4pwrEcKcuH1jAaRTNpEx6vnRM5aQ1KqNa7vsgeQsOeYbBB86aApb3JAXjSrAVpP3AXLvAFTEB84-K6hH79znhv8r6IP1ACTS-yuV1_9Wyw/hnqa8XswZg2aiJ7cqudoUp2t3LAyza4CMFwbu0E6u6Y),화면 캡처 2023-04-19 183033.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770530400000/b7mc6BkxbbxIzv3PCZffTA/6zbgcyGfXV54Qj9opAJ635iJLsKCg2hCiwFUFHHdwTb8lx7rZhJLvWlnpc3_fnJYxQMLu06aV_tQQP1Rib9tK6AFYkfHwd395SeClA98WGg-EFDCM8LHWBGSzlV1uYBHAlEQYJ6MYmIQ-laYuAdV7Q/o34bMmc4ZbN8zeegP03Vue8j7lUlZmY3Bou0JHw8c-k),화면 캡처 2023-04-19 183131.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770530400000/AytFLWs2AkcrXcP9ULicFA/-MPe9PrwbxnuYufbzyp8z3ppGT6283zfpisiFsaC2c-uyUUGJBSGjYUIsalkVYUGsPd5470-97l2mLTPfeHJ8waspdGmaLxxqW3DS5wLrCPkZR-ofyvygpCAO5j2s2kRQI6SnQYic1L77hZyNrAO_g/SkoQAg1VpgJQwOo_19chWSI-uZSfSxwBRLRFuTpx1Z4)",,,,
시행일 : 2024-12-31 | 전기용품및생활용품안전관리법(전안법)_생활용품_안전기준준수_가정용공구,전기용품및생활용품안전관리법(전안법),생활용품,가정용공구,안전기준준수,,없음,,,"품명: 
수량: 
제조년월: 
제조자명: 
수입자명(수입품의 경우): 
주소 및 전화번호, 제조국명:

",,,,,,,V1.0,2024-12-31,디테일 드라이버 키트,,,,,,
시행일 : 2024-12-31 | 전기용품및생활용품안전관리법(전안법)_생활용품_안전기준준수_전안법 검토방법,전기용품및생활용품안전관리법(전안법),생활용품,전안법 검토방법,안전기준준수,제품검사(자율),없음,1. 개별 제품에 세탁하더라도 떨어지지 않는 박음질 또는 그와 동등한 효과 있는 방법으로 표시 ,"*표시사항 박음질이 제품 사용에 불편을 주거나 미관을 심히 해하는 경우 개별 제품 포장/꼬리표/스티커 등으로 대체 가능 : 예) 양말, 장갑, 스카프, 머플러, 손수건, 모자, 신발(합성섬유 한정), 타월, 모기장, 덮개류 등
**동일품명(제품) 2개 이상 묶음 포장 판매 시 최소 판매 포장 단위 표면에만 표시 OK","전기용품 및 생활용품 안전관리법에 의한 표시
섬유의 조성 또는 혼용률 : 겉감, 안감, 충전재를 사용한 제품은 충전재 병기, 다운제품은 솜털(다운), 깃털(페더), 기타로 구분하여 %로 표시
모델명
제조자명(또는 수입자명)
제조국명
제조연월/ 최초판매시즌/ 로트번호 등 시기를 가늠할 수 있는 어느 하나를 표시 
*섬유명칭 통일문자 첨부 이미지 참고
치수: 숄, 가방, 커튼 등 일부 제품은 생략
표시자 주소 및 전화번호(지역번호 포함) : 
소비자상담실
취급상 주의사항
",,,,,,,V1.0,2024-12-31,리멤버 탁상시계,,"화면 캡처 2023-05-09 202645.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770530400000/AUK4r_D_UeJRNJMonrp2eA/OYI1pYRmprI4sVda-45fvtypvGAVZhMwah54CXapcoRUHr6iv5ujPUxQdbGgM26ZzOpxHPj-flFA_iPmFPBpVX200-64KCRuJKm3sFSwu1bU5EtbGBKxv0X20nx6A-ZImnJQ4Dj8nM_kfW-8Mkhq1A/wpQb40rEBym4Wjz06gxNZuxw5jJo9zuYFkUQo3Kb-10),화면 캡처 2023-04-19 183033.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770530400000/b7mc6BkxbbxIzv3PCZffTA/6zbgcyGfXV54Qj9opAJ635iJLsKCg2hCiwFUFHHdwTb8lx7rZhJLvWlnpc3_fnJYxQMLu06aV_tQQP1Rib9tK6AFYkfHwd395SeClA98WGg-EFDCM8LHWBGSzlV1uYBHAlEQYJ6MYmIQ-laYuAdV7Q/o34bMmc4ZbN8zeegP03Vue8j7lUlZmY3Bou0JHw8c-k),화면 캡처 2023-04-19 183131.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770530400000/AytFLWs2AkcrXcP9ULicFA/-MPe9PrwbxnuYufbzyp8z3ppGT6283zfpisiFsaC2c-uyUUGJBSGjYUIsalkVYUGsPd5470-97l2mLTPfeHJ8waspdGmaLxxqW3DS5wLrCPkZR-ofyvygpCAO5j2s2kRQI6SnQYic1L77hZyNrAO_g/SkoQAg1VpgJQwOo_19chWSI-uZSfSxwBRLRFuTpx1Z4)",,,https://m.blog.naver.com/sinabroxy/222252418973,
시행일 : 2024-12-31 | 소방시설 설치 및 관리에 관한 법률_소방용품_소방용품의 성능인증 및 제품검사의 기술기준,소방시설 설치 및 관리에 관한 법률,소방용품,,소방용품의 성능인증 및 제품검사의 기술기준,,,,,,,,,,,,V1.0,2024-12-31,세이프라이프 차량용소화기,,,,,,
시행일 : 2024-12-31 | 대외무역법_수입 공산품_수입 필기구 및 기타 인증 의무 없는 일반 공산품,대외무역법,수입 공산품,수입 필기구 및 기타 인증 의무 없는 일반 공산품,,,,원산지 외 의무 표기사항은 아니나 인증업체에서 권장,,"품질 경영 및 공산품 안전관리법에 따른 표시사항
모델명:
재질 : 
제조자명: 
제조국명: 
사용연령: 14세 이상(문구류에 한해 반드시 표시 권장)
소비자상담실 : 
사용 상 주의사항 :",,,,,,,V1.0,2024-12-31,"파카 조터 XL 볼펜,파카 IM 만년필,심플 블랙 펜,올 블랙 펜,슈가케인 펜,센텐스 펜,라미 사파리 펜,스펙트럼 컬러펜,프로페셔널 와인오프너,화이트 볼펜,스트레치 사원증 홀더,Two-way 에코 쇼핑백,포터블 피크닉 롤테이블,린넨메쉬스트링파우치,트리플 컬러펜 | JETSTREAM,아이콘 펜,와이드클립 펜,심볼릭 샤프 & 형광펜 세트 | 스테들러,아이콘 케이블홀더 세트",,,,,,
시행일 : 2024-12-31 | 위생용품관리법_식품용 기구·용기용 세척제,위생용품관리법,식품용 기구·용기용 세척제,,,,,,,,,,,,,,V1.0,2024-12-31,낫씽 설거지비누,,,,,,
시행일 : 2024-12-31 | 어린이제품안전특별법_어린이제품_안전확인_완구,어린이제품안전특별법,어린이제품,완구,안전확인,"제품 검사, 신고서류검토- 신고확인증/신고번호 발급",있음,"1. 제품 낱개 단위로 ‘제조(수입)자명 또는 그 약호’ 및 ‘안전표시’, ‘지시사항’ 표시
2. 작은 완구 또는 작은 부품이 있는 완구는 경고 문구를 제품 또는 포장에 표시
“ 경고! 3세 미만의 어린이는 사용할 수 없음. 작은 부품을 포함하고 있음”
*해당 문구는 연령 경고 표시기호(그림)로 대체해도 무방"," *제품 특성상 낱개에 직접 표시하기가 곤란한 경우는 제품에 직접 표시하지 아니할 수 있으며, 세트품인 경우는 대표되는 세트 1개에만 표시하여도 무방
* 최소 포장단위에 진행하는게 좋습니다.","어린이제품 안전 특별법에 의한 품질표시
KC마크와 안전확인신고번호
품명
모델명
제조연월
제조자명(수입제품의 경우 제조자명 삭제하는 것으로 개정됨. 2023년 1월 1일 시행)
제조국명
수입자명(수입품에 한함) 
수입자 주소 및 전화번호
안전 표시(주의․경고 등)
사용연령
사용 설명서 ",,,,,,,V1.0,2024-12-31,"미니가든 피규어 세트,인스타 피규어,월드 오브 피규어 Set,리멤버 타투스티커,주차번호판 피규어세트,브랜디드 피규어,팝업스토어 피규어 세트,디스플레이 피규어 세트,카드트레이 피규어 세트,브랜디드 피규어 키링,브릭 메모&캘린더 스탠드",,,,"화면 캡처 2023-03-28 124903.jpg (https://airtable.com/appzRkUNF4NyCQP39/tblDLSbFcLiwOg50s/recoaa3IXi3CWRjLd/fldOVwtqvRp2TzpjY/attAms0RiHyhrbL89), (협회) 표시사항 가이드북 어린이제품_2021.pdf (https://airtable.com/appzRkUNF4NyCQP39/tblDLSbFcLiwOg50s/recoaa3IXi3CWRjLd/fldOVwtqvRp2TzpjY/att0F3vlx0moQ7ZfN)",https://www.safetykorea.kr/,
시행일 : 2024-12-31 | 어린이제품안전특별법_어린이제품_안전확인_학용품,어린이제품안전특별법,어린이제품,학용품,안전확인,"제품 검사, 신고서류검토- 신고확인증/신고번호 발급",있음,"1. 제품 또는 최소 단위포장마다 소비자가 보기 쉬운 곳에 쉽게 지워지지 않는 방법으로
표시
2. 사용상 주의사항은 제품 또는 포장외의 한글 사용설명서 등에 별도로 표시 가능
*다음의 주의사항을 표시하되, 다른 적절한 용어로 변경/ 필요시 추가사항을 표시 가능
·용도 이외는 사용하지 마십시오.
·입에 대거나 입에 넣고 빨면 안 됩니다.
·심의 끝부분에 찔리지 않도록 주의를 기울여야 합니다. 외....","*학용품으로 볼 수 있는 제품 중 [사무용품] 및 [전문가용]으로 사용되고 해당 표시가 되어있는 학용품은 검사대상에서 제외: 이 경우에는 표시사항도 의무가 아닌 권장사항이 됨
","어린이제품 안전 특별법에 의한 품질표시
KC마크와 안전확인신고번호
모델명
제조연월
제조자명(수입제품의 경우 제조자명 삭제하는 것으로 개정됨. 2023년 1월 1일 시행)
수입자명(수입품에 한함)
수입자 주소 및 전화번호
제조국명
사용연령 : 36개월 이상 전 연령
사용상 주의사항",,,,,,,V1.0,2024-12-31,커피 펜슬,,,,,,
"시행일 : 2024-12-31 | 위생용품관리법_위생용품_칫솔, 치실",위생용품관리법,위생용품,"칫솔, 치실",,"제품 검사, 신고서류검토- 신고확인증/신고번호 발급",없음,"1. 기본적으로 필수 표시 사항은 제품 겉면에 표시
2. 필수 표시 사항을 제외한 나머지 공통 표시사항은 첨부 문서에 표시 가능
3. 1차포장과 2차포장이 다 있을 경우 각각의 겉면에 표시

- 판매자 생략 가능 (표시 필요하다면 """"크레비스 파트너스 신시어리 사업부""""
- 제품명 유지 필요 
- 제조업자 표시 필요

위 논의 슬랙 스레드 https://sincerelygroup.slack.com/archives/C015EU7UCLR/p1696579771233359?thread_ts=1696562537.001939&cid=C015EU7UCLR
",,"1) ""위생용품”이라는 글자
2) 제품명
3) 영업소의 명칭 및 소재지
4) 내용량
5) 제조연월일
6) 재질명
     가) 칫솔의 경우 칫솔모와 칫솔대(칫솔머리 및 손잡이)에 사용 
     된 재질의 명칭을 각각 구분하여 표시 
     나) 치간칫솔의 경우 칫솔모, 지지대, 손잡이에 사용된 재질의 
     명칭을 각각 구분하여 표시
7) 위생용품의 유형
 - 일반용 칫솔, 일반용 치간칫솔, 어린이용 칫솔, 어린이용 치간칫솔 
8) 사용 및 보관상 주의사항
 - 어린이용의 경우, “어린이가칫솔모를 물거나 씹으면 칫솔모가
빠질 수 있으니 보호자의 세심한지도가 필요합니다”의 문구 표시 9) 사용방법(치간칫솔에 한함)
 10) 적용대상
 - 어린이용의 경우 사용연령(또는권장사용연령)을 “0∼00세” ",,,,,,,V1.0,2024-12-31,"스탠드-업 칫솔,라운드 밤부 칫솔",,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1770530400000/9gzrNznY6zwjzMi4Zsagiw/h16z-FPIoRlKeKSGngKzcA2M6H6SM0F--IF3TT_V4B6TUcvs3FXJC_OcUErOcpcde4wys1q3466j7CpmrIkcN70fn_43rWXV7kdog8mXl_6tVhoF2iDpYQ1i5q6l06RwDGp3onSJ8M7-w8J1GzkYuA/fyuj2GHFz3UgMoTiOvQqWKYYEZ5dCdwkaw_wxvBSy6E),,,,
"시행일 : 2024-12-31 | 약사법_의약외품_손소독제(의약외품), 마스크(KF)",약사법,의약외품,"손소독제(의약외품), 마스크(KF)",,품목 허가증/신고증,없음,"1. 제품이 직접 접촉하는 1차 용기 및 포장에 표시
2. 1차 용기/포장 표시 내용이 외부의 용기나 포장에 가려 보이지 아니하면 그 외부의 용기나 포장에도 같은 사항을 적어야 한다.

","*제품 명칭, 제조업자/수입자의 상호, 제조번호, 사용기한을 제외한 기재사항은 외부의 용기나 포장 또는 첨부 문서에 기재 가능: 이를 위해 직접 담는 용기나 직접 포장하는 부분에 “용법ㆍ용량-외부의 용기나 포장 또는 첨부문서 참조” 또는 “주의사항-외부의 용기나 포장 또는 첨부문서 참조”라는 기재로 갈음 가능","약사법에 따른 의약외품 표시사항
""의약외품""이라는 문자
제품명
제조업자 상호 및 주소
판매업자 상호 및 소재지
전성분 : 품목허가증 및 품목신고증에 기재된 모든 성분의 명칭. (보존제를 제외한 소량 함유 성분 등 총리령으로 정하는 성분은 제외 가능)
용량 또는 중량
보관방법
제조 번호와 사용 기한
소비자상담실 
사용상 주의사항 :
보관상 주의사항

저장 방법 및 기준에서 용기나 포장에 적도록 정한 사항
사용설명서",,,,,,,V1.0,2024-12-31,"뷰티풀 새니타이저,케어풀 포켓 새니타이저,Don't Eat 손소독제,굿바이 바이러스 마스크 키트,트루KF94 프린팅 마스크",,,,,,
시행일 : 2024-12-31 | 약사법_의약외품_치약,약사법,의약외품,치약,,품목 허가증/신고증,없음,"1. 제품이 직접 접촉하는 1차 용기 및 포장에 표시
2. 1차 용기/포장 표시 내용이 외부의 용기나 포장에 가려 보이지 아니하면 그 외부의 용기나 포장에도 같은 사항을 적어야 한다.

","*제품 명칭, 제조업자/수입자의 상호, 제조번호, 사용기한을 제외한 기재사항은 외부의 용기나 포장 또는 첨부 문서에 기재 가능: 이를 위해 직접 담는 용기나 직접 포장하는 부분에 “용법ㆍ용량-외부의 용기나 포장 또는 첨부문서 참조” 또는 “주의사항-외부의 용기나 포장 또는 첨부문서 참조”라는 기재로 갈음 가능","약사법에 따른 의약외품 표시사항
""의약외품""이라는 문자
제품명
제조업자 상호 및 주소
판매업자 상호 및 소재지
전성분 : 품목허가증 및 품목신고증에 기재된 모든 성분의 명칭. (보존제를 제외한 소량 함유 성분 등 총리령으로 정하는 성분은 제외 가능)
용량 또는 중량
보관방법
제조 번호와 사용 기한
소비자상담실 
사용상 주의사항 :
보관상 주의사항

저장 방법 및 기준에서 용기나 포장에 적도록 정한 사항
사용설명서",,,,,,,V1.0,2024-12-31,리프레쉬 고체치약,,,,,,
시행일 : 2024-12-31 | 전기용품및생활용품안전관리법(전안법)_전기용품_안전인증_직류전원장치- 충전어댑터,전기용품및생활용품안전관리법(전안법),전기용품,직류전원장치- 충전어댑터,안전인증,"공장심사, 제품 검사- 인증서/인증번호 발급",있음,"1. 표시사항 전체를 제품에 표시
2. 제품 표기 내용이 포장에 가려질 경우 포장에도 표시
3. 안전확인인 경우는 ""신고""번호"," * 제품 단면적 400제곱미터 이하: KC마크 또는 인증번호안전확인신고번호 중 1개만 표시
 **최대 단면적 400 초과 900제곱미터 이하: KC마크+번호, 나머지 표시사항은 꼬리표 또는 포장지 표면
 ***제품에 표시 불가능한 경우: 꼬리표 또는 포장지 표면","전기용품 및 생활용품 안전관리법에 의한 표시KC마크와 안전인증번호 OR 안전확인신고번호
제품명: 
모델명:
정격입력 (직류전용기기의 경우 직류를 나타내는 기호 필요)
정격출력 (직류전용기기의 경우 직류를 나타내는 기호 필요)
제조년월
제조자명(수입자명)
제조국명
소비자상담실 
사용상 주의사항(기타 전기용품 안전기준에서 표시를 규정한 내용)",,,,,,,V1.0,2024-12-31,"스탠딩 휴대용 선풍기,파워업 PD 충전기 65W,브릭스탠드 멀티충전 스테이션,핸디링 미니 선풍기,칠링패드 냉각선풍기,""No Stress, PD충전기"",비주얼 PD 고속충전기 65W,월드와이드 멀티어댑터",,,,"화면 캡처 2023-03-28 125140.jpg (https://airtable.com/appzRkUNF4NyCQP39/tblDLSbFcLiwOg50s/recwcjkJTp8c5In1a/fldOVwtqvRp2TzpjY/attsT98fRgJvjPLp1), (협회) 표시사항 가이드북 전기용품_2021.pdf (https://airtable.com/appzRkUNF4NyCQP39/tblDLSbFcLiwOg50s/recwcjkJTp8c5In1a/fldOVwtqvRp2TzpjY/att3jrZipqDu5Y4zA)",https://www.safetykorea.kr/,
"시행일 : 2024-12-31 | 전기용품및생활용품안전관리법(전안법)_전기용품_안전확인_내장 배터리 타입 기기류 : 가습기, 보조배터리, 무선청소기, 무선키보드, 무선마사지기, 휴대용선풍기, 온열기기(충전손난로)",전기용품및생활용품안전관리법(전안법),전기용품,"내장 배터리 타입 기기류 : 가습기, 보조배터리, 무선청소기, 무선키보드, 무선마사지기, 휴대용선풍기, 온열기기(충전손난로)",안전확인,"제품 검사, 신고서류검토- 신고확인증/신고번호 발급",있음,"전기용품 안전인증 관련 내용과 동일

","전기용품 안전인증 관련 내용과 동일

","전기용품 및 생활용품 안전관리법에 의한 표시
KC마크와 안전인증번호 OR 안전확인신고번호
제품명: 
모델명:
정격(예- DC24V 5W)
제조년월
제조자명(수입자명)
제조국명
소비자상담실 
사용상 주의사항(기타 전기용품 안전기준에서 표시를 규정한 내용)",,,,,,,V1.0,2024-12-31,"핸디링 미니 선풍기,칠링패드 냉각선풍기,핑거팬,베러 배러리,워터풀 무선가습기,올데이 핸즈프리 선풍기,로지텍 라이트 마우스,로지텍 페블 블루투스 마우스,베이직 도킹형 보조배터리,그래픽배너 대용량 보조배터리,릴리프 눈마사지기,얼티밋 배터리,모이스트 듀얼 가습기,스탠딩 포터블 선풍기,브랜뉴 차량용 무선청소기,SNOW 손난로 & 보조배터리,데코 무선 가습기,익스텐드 차량용 청소기,에너제틱 목마사지기,어태치보조배터리,웨어러블 넥밴드 선풍기,스페이스 차량용 청소기,차량용 공기청정기,킵세이프 마그넷 배터리,킵세이프 마그넷 배터리(dash),퀵차지 도킹형 보조배터리,밸류 무선충전 마우스패드,젠틀 차량용 청소기,킵세이프 마그넷 배터리 Slim,소프트터치 블루투스 키보드",,,,,,
"시행일 : 2024-12-31 | 전기용품및생활용품안전관리법(전안법)_전기용품_공급자적합성_유선 연결/건전지 타입 기기류-
무선충전패드류, 칫솔살균기",전기용품및생활용품안전관리법(전안법),전기용품,"유선 연결/건전지 타입 기기류-
무선충전패드류, 칫솔살균기",공급자적합성,제품검사(자체/3자 시험기관),있음(번호없음),"전기용품 안전인증 관련 내용과 동일

","전기용품 안전인증 관련 내용과 동일

","전기용품 및 생활용품 안전관리법에 의한 표시
KC마크(번호없음)
제품명: 
모델명:
정격(예- DC24V 5W)
제조년월
제조자명(수입자명)
제조국명
소비자상담실 
사용상 주의사항(기타 전기용품 안전기준에서 표시를 규정한 내용)",,,,,,,V1.0,2024-12-31,"에센셜 와인오프너 세트,셀렉티브 전동오프너&와인잔 세트,미니멀 무선충전 마우스패드,오토매틱 와인오프너,BLANK 칫솔살균기,리마커블 칫솔살균기,베이직 무선충전 마우스패드,버티컬 무선충전패드,프라임 폴더블 멀티충전기,플러스 멀티충전 스테이션,히트업 손난로 보조배터리",,,,,,
"시행일 : 2024-12-31 | 전파법_전기용품_(전자파)적합인증_블루투스 제품류(키보드, 스피커 등)",전파법,전기용품,"블루투스 제품류(키보드, 스피커 등)",(전자파)적합인증,"전기용품법 요건과 병행, 적합등록과 적합인증의 구분은 블루투스유무였던 적도 있었으나, 블루투스 제품이 워낙 많아 최근 신제품은 적합등록으로 완화되는 추세",있음,"전안법&적파법 둘 다 적용되는 제품의 경우, [전기용품 안전관리법에 의한 표시와 적합성 평가에 의한 표시]로 FULL 마킹",,"방송통신기자재 등 적합성평가에 따른 표시
KC마크와 적합성평가 인증번호 OR 적합성평가 등록번호
적합성평가를 받은 상호명
기자재명칭
모델명
제조자
제조국가
제조연월
소비자상담실
사용상 주의사항",,,,,,,V1.0,2024-12-31,"소프트터치 블루투스 키보드,피크닉 포터블 스피커",,,,,,
시행일 : 2024-12-31 | 전파법_전기용품_(전자파)적합등록_USB데이터저장장치 외,전파법,전기용품,USB데이터저장장치 외,(전자파)적합등록,"전기용품법 요건과 병행, 대부분 적합등록에 해당(블루투스 제품도 등록으로 완화 추세)",있음,"적합인증 관련 내용과 동일
",,"방송통신기자재 등 적합성평가에 따른 표시
KC마크와 적합성평가 인증번호 OR 적합성평가 등록번호
적합성평가를 받은 상호명
기자재명칭
모델명
제조자
제조국가
제조연월
소비자상담실
사용상 주의사항",,,,,,,V1.0,2024-12-31,"플레인 USB,버티컬 무선충전패드,프라임 폴더블 멀티충전기,플러스 멀티충전 스테이션,히트업 손난로 보조배터리,""No Stress, PD충전기"",비주얼 PD 고속충전기 65W,월드와이드 멀티어댑터,릴리프 눈마사지기,얼티밋 배터리,모이스트 듀얼 가습기,스탠딩 포터블 선풍기,브랜뉴 차량용 무선청소기,SNOW 손난로 & 보조배터리,데코 무선 가습기,익스텐드 차량용 청소기,에너제틱 목마사지기,어태치보조배터리,웨어러블 넥밴드 선풍기,스페이스 차량용 청소기,차량용 공기청정기,킵세이프 마그넷 배터리,킵세이프 마그넷 배터리(dash),퀵차지 도킹형 보조배터리,밸류 무선충전 마우스패드,젠틀 차량용 청소기,킵세이프 마그넷 배터리 Slim,헬로 카드형 USB",,,,,,
시행일 : 2024-12-31 | 종자산업법_종자,종자산업법,종자,,,,,,,,,,,,,,V1.0,2024-12-31,스타트 씨드키트,,,,,,
시행일 : 2024-12-31 | 화장품법_화장품_세정 비누류,화장품법,화장품,세정 비누류,,화장품 책임판매업자 등록,, 1차 포장 또는 2차 포장에 기재,,"화장품법에 의한 한글표시사항
제품명
화장품 제조업자 상호 및 주소
화장품 책임판매업자 상호 및 주소
(제조와 판매 주체가 동일한 경우 ""화장품제조업자 및 화장품책임판매업자""로 기재)
전성분: 해당 화장품 제조에 사용된 모든 성분(인체에 무해한 소량 함유 성분 등 총리령으로 정하는 성분은 제외)
내용물의 용량 또는 중량(1차/2차 포장 용기를 제외한 순수 제품에 대해)
제조번호
사용기한 또는 개봉 후 사용기간
기능성화장품의 기재·표시(기능성 화장품인 경우에 한함)
소비자상담실
사용방법
사용상 주의사항
보관상 주의사항
",,,,,,,V1.0,2024-12-31,"핸디 파우더솝,Clean me Softly 핸드워시",,,,,,